replica,status,pehe,ate_error,att_error,policy_value,cf_rmse,control_cf_rmse,treated_cf_rmse
ihdp_npci_1.csv,ok,0.5092,0.0951,0.1514,1.0,1.063,1.0639,1.0601
ihdp_npci_10.csv,ok,8.6815,0.272,0.4202,0.7267,4.9897,5.05,4.7607
ihdp_npci_2.csv,ok,0.7988,0.1993,0.2703,1.0,1.1018,1.0486,1.2929
ihdp_npci_3.csv,ok,0.6948,0.2567,0.2378,0.9933,1.0577,1.0158,1.205
ihdp_npci_4.csv,ok,1.7298,0.1066,0.2912,0.9467,1.3704,1.3665,1.3888
ihdp_npci_5.csv,ok,2.159,0.434,0.2599,0.9333,1.7194,1.4897,2.4299
ihdp_npci_6.csv,ok,0.4616,0.1579,0.2177,1.0,1.0487,1.0473,1.0537
ihdp_npci_7.csv,ok,0.4037,0.347,0.2841,1.0,1.0491,1.0535,1.0264
ihdp_npci_8.csv,ok,1.4258,0.4196,0.557,0.9867,1.3732,1.1394,2.1959
ihdp_npci_9.csv,ok,23.7308,1.6048,0.4392,0.84,14.5517,14.0155,16.688
MEAN,,4.0595,0.3893,0.3129,0.9427,2.9325,2.829,3.3101
STD,,7.3422,0.4434,0.1219,0.0912,4.2562,4.1198,4.8379
MEDIAN,,1.1123,0.2643,0.2772,0.99,1.2361,1.1017,1.3409
