replica,status,pehe,ate_error,att_error,policy_value,cf_rmse,control_cf_rmse,treated_cf_rmse
ihdp_npci_1.csv,ok,0.4547,0.0577,0.0982,1.0,1.0633,1.0635,1.0629
ihdp_npci_10.csv,ok,8.1448,0.096,0.8363,0.7467,4.9303,5.3613,2.8199
ihdp_npci_2.csv,ok,0.5664,0.1616,0.2023,1.0,1.091,1.1005,1.052
ihdp_npci_3.csv,ok,0.6539,0.2268,0.1857,0.9933,1.0497,1.0183,1.1625
ihdp_npci_4.csv,ok,1.6361,0.0191,0.1821,0.9467,1.4014,1.4493,1.1459
ihdp_npci_5.csv,ok,1.9531,0.3748,0.2215,0.9333,1.5328,1.3837,2.0221
ihdp_npci_6.csv,ok,0.4271,0.1813,0.224,1.0,1.01,1.0126,1.0002
ihdp_npci_7.csv,ok,0.412,0.3503,0.2823,1.0,1.049,1.0492,1.0481
ihdp_npci_8.csv,ok,0.9396,0.2527,0.439,0.9867,1.2791,1.2678,1.3341
ihdp_npci_9.csv,ok,22.0457,1.9228,0.5958,0.84,13.3538,13.0286,14.6872
MEAN,,3.7233,0.3643,0.3267,0.9447,2.776,2.7735,2.7335
STD,,6.8508,0.5598,0.2302,0.0861,3.9024,3.8398,4.2402
MEDIAN,,0.7968,0.2041,0.2228,0.99,1.185,1.1842,1.1542
