replica,status,backend,pehe,ate_error,att_error,policy_value,cf_rmse,control_cf_rmse,treated_cf_rmse
ihdp_npci_1.csv,ok,econml_causal_forest,0.5603,0.0226,0.2014,0.9867,1.0853,1.0326,1.29
ihdp_npci_10.csv,ok,econml_causal_forest,6.5075,0.1116,0.3719,0.8,2.3026,1.0581,4.8501
ihdp_npci_2.csv,ok,econml_causal_forest,0.7442,0.1527,0.1767,1.0,1.223,1.1987,1.3237
ihdp_npci_3.csv,ok,econml_causal_forest,0.5084,0.0529,0.1026,0.9933,1.1087,1.0761,1.241
ihdp_npci_4.csv,ok,econml_causal_forest,1.1276,0.3826,0.2387,0.98,1.2758,1.1315,1.7725
ihdp_npci_5.csv,ok,econml_causal_forest,1.8314,0.0347,0.4822,0.9267,1.6997,1.2842,2.8793
ihdp_npci_6.csv,ok,econml_causal_forest,0.4135,0.0236,0.1794,1.0,1.1912,1.1571,1.3296
ihdp_npci_7.csv,ok,econml_causal_forest,0.2663,0.101,0.083,1.0,1.0928,1.0787,1.1522
ihdp_npci_8.csv,ok,econml_causal_forest,1.5388,0.1357,0.0646,0.9667,1.4368,1.2978,1.9288
ihdp_npci_9.csv,ok,econml_causal_forest,16.4252,5.8485,1.0484,0.8533,7.3387,1.3642,16.7454
MEAN,,,2.9923,0.6866,0.2949,0.9507,1.9755,1.1679,3.4513
STD,,,5.0658,1.8168,0.2949,0.0702,1.9215,0.1145,4.8077
MEDIAN,,,0.9359,0.1063,0.1904,0.9833,1.2494,1.1443,1.5511
