replica,status,backend,pehe,ate_error,att_error,policy_value,cf_rmse,control_cf_rmse,treated_cf_rmse
ihdp_npci_1.csv,ok,econml_causal_forest,0.532,0.0297,0.089,0.9867,1.1161,1.0623,1.3253
ihdp_npci_10.csv,ok,econml_causal_forest,5.6845,0.57,1.2906,0.8467,2.0734,1.0995,4.2145
ihdp_npci_2.csv,ok,econml_causal_forest,0.5161,0.0496,0.0783,1.0,1.2274,1.2161,1.2756
ihdp_npci_3.csv,ok,econml_causal_forest,0.521,0.032,0.1113,0.9933,1.0969,1.036,1.3303
ihdp_npci_4.csv,ok,econml_causal_forest,1.178,0.5324,0.3211,0.98,1.2476,1.132,1.6599
ihdp_npci_5.csv,ok,econml_causal_forest,1.7328,0.0304,0.4874,0.9333,1.5277,1.2698,2.3405
ihdp_npci_6.csv,ok,econml_causal_forest,0.3701,0.0205,0.0359,1.0,1.1615,1.1165,1.3398
ihdp_npci_7.csv,ok,econml_causal_forest,0.2568,0.0744,0.0259,1.0,1.0891,1.0855,1.1046
ihdp_npci_8.csv,ok,econml_causal_forest,1.0246,0.1413,0.1253,0.9667,1.3902,1.2721,1.8172
ihdp_npci_9.csv,ok,econml_causal_forest,15.7229,6.5864,3.1532,0.8667,6.7788,1.4557,15.3929
MEAN,,,2.7539,0.8067,0.5718,0.9573,1.8709,1.1745,3.1801
STD,,,4.8322,2.0416,0.9845,0.057,1.75,0.1291,4.3879
MEDIAN,,,0.7783,0.062,0.1183,0.9833,1.2375,1.1242,1.4998
