replica,status,backend,pehe,ate_error,att_error,policy_value,cf_rmse,control_cf_rmse,treated_cf_rmse
ihdp_npci_1.csv,ok,econml_causal_forest,0.559,0.0744,0.0716,0.9867,1.0929,1.0463,1.2763
ihdp_npci_10.csv,ok,econml_causal_forest,5.5832,0.4067,1.1028,0.86,2.1511,1.1123,4.4044
ihdp_npci_2.csv,ok,econml_causal_forest,0.5282,0.0979,0.1428,1.0,1.2355,1.215,1.3212
ihdp_npci_3.csv,ok,econml_causal_forest,0.5145,0.1036,0.1502,0.9933,1.1063,1.0597,1.2901
ihdp_npci_4.csv,ok,econml_causal_forest,1.1573,0.4242,0.3133,0.98,1.2372,1.1312,1.62
ihdp_npci_5.csv,ok,econml_causal_forest,1.8128,0.1118,0.421,0.94,1.5591,1.2855,2.4128
ihdp_npci_6.csv,ok,econml_causal_forest,0.3766,0.0125,0.0718,1.0,1.1633,1.113,1.3608
ihdp_npci_7.csv,ok,econml_causal_forest,0.27,0.0756,0.0446,1.0,1.0837,1.0599,1.1818
ihdp_npci_8.csv,ok,econml_causal_forest,1.0325,0.1745,0.1433,0.9667,1.3325,1.2706,1.574
ihdp_npci_9.csv,ok,econml_causal_forest,14.8932,5.9645,2.8241,0.82,6.5875,1.4611,14.9388
MEAN,,,2.6727,0.7446,0.5286,0.9547,1.8549,1.1755,3.138
STD,,,4.5742,1.8394,0.866,0.0639,1.6939,0.1323,4.2597
MEDIAN,,,0.7957,0.1077,0.1467,0.9833,1.2364,1.1221,1.4674
