dataset,dataset_path,k,metric,scaled,weighted,counterfactual_rmse,control_counterfactual_rmse,treated_counterfactual_rmse,pehe,ate_hat,ate_true,ate_abs_error
ihdp_npci_1.csv,csds452_project_spring_2026\experiments\knn_counterfactual\noisy\drop_global_5cols\datasets\ihdp_npci_1.csv,5,euclidean,True,False,1.2110025026204598,1.155112074896349,1.4300251550922367,1.1606131681282759,4.025047737825787,4.016066896118338,0.008980841707448839
ihdp_npci_10.csv,csds452_project_spring_2026\experiments\knn_counterfactual\noisy\drop_global_5cols\datasets\ihdp_npci_10.csv,5,euclidean,True,False,2.8182543305518357,1.1150876422926042,6.102889277852735,2.7922550288526966,4.791617407407901,4.586000545961049,0.20561686144685165
ihdp_npci_2.csv,csds452_project_spring_2026\experiments\knn_counterfactual\noisy\drop_global_5cols\datasets\ihdp_npci_2.csv,5,euclidean,True,False,1.138348065332443,1.147597264683423,1.096974926198541,1.1216650269295376,4.160012248275836,4.050838760043126,0.10917348823271045
ihdp_npci_3.csv,csds452_project_spring_2026\experiments\knn_counterfactual\noisy\drop_global_5cols\datasets\ihdp_npci_3.csv,5,euclidean,True,False,1.1226536716371909,1.075545518728504,1.3089319964473651,1.1628077120966658,4.141712397865878,4.099163647971287,0.0425487498945909
ihdp_npci_4.csv,csds452_project_spring_2026\experiments\knn_counterfactual\noisy\drop_global_5cols\datasets\ihdp_npci_4.csv,5,euclidean,True,False,1.3441552683445561,1.1879274207108184,1.8807094794875194,1.316982999715448,4.272740344632113,4.27367845743849,0.0009381128063772337
ihdp_npci_5.csv,csds452_project_spring_2026\experiments\knn_counterfactual\noisy\drop_global_5cols\datasets\ihdp_npci_5.csv,5,euclidean,True,False,1.678221089314143,1.1792483180566375,3.008823080985698,1.6394920921839264,4.153046168427983,4.162439707706217,0.009393539278233831
ihdp_npci_6.csv,csds452_project_spring_2026\experiments\knn_counterfactual\noisy\drop_global_5cols\datasets\ihdp_npci_6.csv,5,euclidean,True,False,1.188150142704143,1.116637071065004,1.460359749329777,1.1373989526832198,4.142129030660214,4.003967594300539,0.13816143635967482
ihdp_npci_7.csv,csds452_project_spring_2026\experiments\knn_counterfactual\noisy\drop_global_5cols\datasets\ihdp_npci_7.csv,5,euclidean,True,False,1.1728704886159669,1.1692688982648367,1.1884959354997469,1.1036703479848282,3.8194201335924656,3.9905494932203087,0.17112935962784315
ihdp_npci_8.csv,csds452_project_spring_2026\experiments\knn_counterfactual\noisy\drop_global_5cols\datasets\ihdp_npci_8.csv,5,euclidean,True,False,1.3609200860937039,1.1736586588075328,1.9819631182498694,1.456318891293428,3.698492634296494,3.85365335563423,0.15516072133773617
ihdp_npci_9.csv,csds452_project_spring_2026\experiments\knn_counterfactual\noisy\drop_global_5cols\datasets\ihdp_npci_9.csv,5,euclidean,True,False,10.597627721963955,1.2262526187475322,24.433305051105602,10.633435642473776,11.129164006768535,10.466037316008876,0.6631266907596594
